"RefDes","Value","Name"
"C1","Optional 10nF","CAP_0805"
"D1","Zener >12V","PMEG1020EA"
"J1","","ED555/2DS"
"J2","","90131-0121"
"Q1","Any NPN","MMBT3904"
"R1","62KOhm","RES_0805"
"R2","20KOhm","RES_0805"
"R3","","RES_0805"
"R4","","RES_0805"
"U1","","MCP4725SOT-23"
"U2","","XTR115-SOIC8"
"U3","","JUMPER-PAD-3-NOYES_SILK"
"U4","","JUMPER-PAD-3-NOYES_SILK"
"U5","","EEPROM-CAT24C256WI-GT3(SOIC8)"
"U6","","JUMPER-PAD-3-NOYES_SILK"
"U7","","JUMPER-PAD-3-NOYES_SILK"
"U8","","JUMPER-PAD-3-NOYES_SILK"
"U9","","JUMPER-PAD-3-NOYES_SILK"
"U10","","FEATHERWING_NODIM"
"U14","","M12PTH"
"U15","","M12PTH"
"U16","","M04PTH"
