"RefDes","Value","Name"
"C1","10µF","CAP_CERAMIC0805-NOOUTLINE"
"C2","0.1uF","CAP_CERAMIC0603_NO"
"C3","10µF","CAP_CERAMIC0805-NOOUTLINE"
"C4","0.1uF","CAP_CERAMIC0603_NO"
"C5","0.1uF","CAP_CERAMIC0603_NO"
"C6","10µF","CAP_CERAMIC0805-NOOUTLINE"
"C7","1uF","CAP_CERAMIC0603_NO"
"C8","10µF","CAP_CERAMIC0805-NOOUTLINE"
"C9","0.1uF","CAP_CERAMIC0603_NO"
"C10","0.1uF","CAP_CERAMIC0603_NO"
"CHG","ORANGE","LED0805_NOOUTLINE"
"D3","RED","LED0805_NOOUTLINE"
"D4","MBR120","DIODE-SCHOTTKYSOD-123"
"IC1","CP2104","CP2104"
"J1","","90131-0124"
"R1","1K","RESISTOR_0603_NOOUT"
"R2","1K","RESISTOR_0603_NOOUT"
"R3","1K","RESISTOR_0603_NOOUT"
"R4","1K","RESISTOR_0603_NOOUT"
"R7","10K","RESISTOR_0603_NOOUT"
"R8","10K\","RESISTOR_0603_NOOUT"
"R10","1K","RESISTOR_0603_NOOUT"
"SJ1","","SOLDERJUMPER_CLOSED"
"SW2","KMR2","SWITCH_TACT_SMT4.6X2.8"
"U1","","FEATHERWING_NODIM"
"U2","SPX3819","VREG_SOT23-5"
"U3","MCP73831T-2ACI/OT","MCP73831/2"
"U4","","MCU-ATMEGA328P-AU(TQFP32)"
"X1","JSTPH","CON_JST_PH_2PIN"
"X4","20329","USB_MICRO_20329_V2"
